lineage	copy corrected duplicated basepairs	deleted basepairs	duplicated bp / substituted bp	deleted bp / substituted bp	duplicated bp / million years (Mbp)	deleted bp / million years (Mbp)	duplicated sites	deleted sites	duplicated sites/MY	deleted sites/MY	deleted bp >5kb	deleted sites >5kb	deleted sites >5kb / million years
Ppy	487342	411190	0.10	0.09	0.27	0.23	48	36	26.67	20.00	352421	19	10.56
Pab	361732	210551	0.08	0.05	0.20	0.12	38	10	21.11	5.56	198160	6	3.33
Pab-Ppy	27854532	11292486	0.76	0.31	1.92	0.78	885	1111	61.03	76.62	9469243	562	38.76
Hde	142093	931589	0.07	0.49	0.18	1.16	6	113	7.50	141.25	755770	58	72.50
Hsa	280445	52505	0.13	0.02	0.35	0.07	19	12	23.75	15.00	25144	2	2.50
Hde-Hsa	5715010	4303500	0.38	0.29	0.95	0.72	282	919	47.00	153.17	2193258	224	37.33
Ppa	860900	1644331	0.17	0.32	0.43	0.82	67	149	33.50	74.50	1456279	86	43.00
Ptrv	31250	283012	0.01	0.11	0.03	0.28	15	34	15.00	34.00	228196	17	17.00
Ptre	1302	35715	0.00	0.02	0.00	0.04	1	7	1.11	7.78	21178	2	2.22
Ptre-Ptrv	13830	21208	0.04	0.06	0.14	0.21	2	4	20.00	40.00	12213	1	10.00
Ptrs	13994	10633	0.01	0.00	0.01	0.01	2	3	2.00	3.00	0	0	0.00
Ptrt	20823	12655	0.01	0.01	0.02	0.01	10	5	11.11	5.56	0	0	0.00
Ptrs-Ptrt	1790	8730	0.01	0.05	0.02	0.09	1	1	10.00	10.00	8730	1	10.00
Ptre-Ptrs-Ptrt-Ptrv	802219	451846	0.35	0.19	0.89	0.50	30	64	33.33	71.11	332534	30	33.33
Ppa-Ptre-Ptrs-Ptrt-Ptrv	6050953	7943919	0.54	0.71	1.38	1.81	121	665	27.50	151.14	7173626	428	97.27
Hde-Hsa-Ppa-Ptre-Ptrs-Ptrt-Ptrv	4227312	1232172	1.17	0.34	3.02	0.88	269	213	192.14	152.14	806578	66	47.14
Gbeg	446285	533317	0.15	0.18	0.37	0.44	89	72	74.17	60.00	422322	37	30.83
Ggod	111722	1194717	0.05	0.53	0.12	1.33	31	146	34.44	162.22	956540	74	82.22
Ggog	5600	0	0.00	0.00	0.01	0.00	2	0	2.22	0.00	0	0	0.00
Ggod-Ggog	339371	178376	0.70	0.37	1.70	0.89	35	9	175.00	45.00	171072	7	35.00
Gbeg-Ggod-Ggog	29413779	7701191	1.76	0.46	4.46	1.17	278	770	42.12	116.67	6665912	460	69.70
Gbeg-Ggod-Ggog-Hde-Hsa-Ppa-Ptre-Ptrs-Ptrt-Ptrv	55560468	8729420	2.61	0.41	6.61	1.04	1744	1185	207.62	141.07	6281670	391	46.55
Gbeg-Ggod-Ggog-Hde-Hsa-Pab-Ppa-Ppy-Ptre-Ptrs-Ptrt-Ptrv	192822491	165201851	0.07	0.06	192.82	165.20	7863	316	7863.00	316.00	164992705	244	244.00
